Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
31.202: [GC (Allocation Failure) 31.203: [ParNew: 94208K->1067K(153600K), 0.0100162 secs] 94208K->1067K(256000K), 0.0110429 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
32.254: [GC (Allocation Failure) 32.254: [ParNew: 95052K->11519K(153600K), 0.0081642 secs] 95052K->11519K(256000K), 0.0083768 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
33.280: [GC (Allocation Failure) 33.280: [ParNew: 107617K->11809K(153600K), 0.0069714 secs] 107617K->11809K(256000K), 0.0080571 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
34.298: [GC (Allocation Failure) 34.299: [ParNew: 105885K->11268K(153600K), 0.0032036 secs] 105885K->11268K(256000K), 0.0034386 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
35.317: [GC (Allocation Failure) 35.317: [ParNew: 105375K->1091K(153600K), 0.0014725 secs] 105375K->1091K(256000K), 0.0016644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.332: [GC (Allocation Failure) 36.332: [ParNew: 95219K->11370K(153600K), 0.0016222 secs] 95219K->11370K(256000K), 0.0018344 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.350: [GC (Allocation Failure) 37.350: [ParNew: 105511K->21892K(153600K), 0.0108845 secs] 105511K->21892K(256000K), 0.0119098 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
38.374: [GC (Allocation Failure) 38.374: [ParNew: 116041K->32112K(153600K), 0.0140519 secs] 116041K->32112K(256000K), 0.0142016 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
40.407: [GC (Allocation Failure) 40.408: [ParNew: 126266K->0K(153600K), 0.0192756 secs] 126266K->954K(256000K), 0.0195420 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
41.434: [GC (Allocation Failure) 41.434: [ParNew: 94158K->10240K(153600K), 0.0021182 secs] 95112K->11194K(256000K), 0.0023903 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
42.451: [GC (Allocation Failure) 42.451: [ParNew: 104400K->10240K(153600K), 0.0018520 secs] 105355K->11194K(256000K), 0.0020665 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
